,date,open,close,high,low,volume,code
0,2010-08-03,2.254,2.268,2.341,2.181,165588.13,002456
1,2010-08-04,2.366,2.41,2.479,2.33,110944.8,002456
2,2010-08-05,2.381,2.411,2.432,2.345,67760.08,002456
3,2010-08-06,2.447,2.479,2.572,2.444,69066.79,002456
4,2010-08-09,2.483,2.608,2.621,2.483,60012.0,002456
5,2010-08-10,2.684,2.733,2.826,2.64,52543.05,002456
6,2010-08-11,2.675,2.758,2.801,2.654,44057.75,002456
7,2010-08-12,2.719,2.547,2.736,2.493,52036.17,002456
8,2010-08-13,2.549,2.586,2.601,2.464,34313.65,002456
9,2010-08-16,2.577,2.621,2.648,2.537,28500.2,002456
10,2010-08-17,2.604,2.721,2.751,2.602,30145.15,002456
11,2010-08-18,2.699,2.66,2.725,2.627,29978.2,002456
12,2010-08-19,2.667,2.676,2.748,2.665,20764.32,002456
13,2010-08-20,2.626,2.575,2.684,2.528,24881.16,002456
14,2010-08-23,2.547,2.489,2.588,2.473,17952.15,002456
15,2010-08-24,2.489,2.569,2.618,2.477,15587.92,002456
16,2010-08-25,2.488,2.491,2.546,2.482,12503.03,002456
17,2010-08-26,2.507,2.553,2.556,2.45,13137.0,002456
18,2010-08-27,2.545,2.588,2.589,2.493,14946.0,002456
19,2010-08-30,2.584,2.673,2.678,2.572,15371.0,002456
20,2010-08-31,2.648,2.82,2.87,2.597,25044.0,002456
21,2010-09-01,2.802,2.768,2.906,2.721,24458.0,002456
22,2010-09-02,2.798,2.89,2.931,2.75,24911.0,002456
23,2010-09-03,2.884,2.877,2.919,2.83,14025.0,002456
24,2010-09-06,2.877,2.727,2.91,2.698,16539.0,002456
25,2010-09-07,2.709,2.777,2.798,2.681,9597.0,002456
26,2010-09-08,2.766,2.722,2.773,2.695,10397.0,002456
27,2010-09-09,2.711,2.671,2.737,2.671,9292.0,002456
28,2010-09-10,2.647,2.704,2.714,2.572,11182.0,002456
29,2010-09-13,2.689,2.723,2.741,2.66,7983.0,002456
30,2010-09-14,2.745,2.746,2.759,2.711,7066.0,002456
31,2010-09-15,2.746,2.603,2.748,2.599,8439.0,002456
32,2010-09-16,2.596,2.601,2.634,2.546,5414.0,002456
33,2010-09-17,2.596,2.631,2.708,2.577,8164.0,002456
34,2010-09-20,2.63,2.659,2.688,2.601,4714.0,002456
35,2010-09-21,2.651,2.616,2.719,2.601,3781.0,002456
36,2010-09-27,2.618,2.706,2.723,2.596,6493.0,002456
37,2010-09-28,2.705,2.758,2.772,2.675,8897.0,002456
38,2010-09-29,2.758,2.74,2.816,2.699,8522.0,002456
39,2010-09-30,2.743,2.672,2.743,2.597,8024.0,002456
40,2010-10-11,2.733,2.675,2.733,2.645,8980.0,002456
41,2010-10-12,2.694,2.612,2.716,2.606,6478.0,002456
42,2010-10-13,2.614,2.574,2.645,2.488,9546.0,002456
43,2010-10-14,2.574,2.468,2.587,2.457,8409.0,002456
44,2010-10-15,2.415,2.334,2.471,2.317,12500.0,002456
45,2010-10-18,2.351,2.417,2.439,2.332,6954.0,002456
46,2010-10-19,2.413,2.471,2.523,2.401,10060.0,002456
47,2010-10-20,2.434,2.395,2.459,2.376,7009.0,002456
48,2010-10-21,2.444,2.488,2.505,2.42,10041.0,002456
49,2010-10-22,2.541,2.678,2.736,2.488,19310.0,002456
50,2010-10-25,2.675,2.755,2.836,2.637,14352.0,002456
51,2010-10-26,2.758,2.77,2.802,2.721,8329.0,002456
52,2010-10-27,2.77,2.914,2.923,2.719,15412.0,002456
53,2010-10-28,2.909,2.978,3.174,2.881,16185.0,002456
54,2010-10-29,2.94,3.102,3.226,2.94,16466.0,002456
55,2010-11-01,3.086,3.074,3.135,2.995,15152.0,002456
56,2010-11-02,3.038,3.041,3.135,2.936,12942.0,002456
57,2010-11-03,2.964,3.037,3.125,2.91,25497.0,002456
58,2010-11-04,3.008,3.07,3.105,2.965,12070.0,002456
59,2010-11-08,3.113,3.373,3.377,3.027,24131.0,002456
60,2010-11-09,3.325,3.256,3.444,3.232,17081.0,002456
61,2010-11-10,3.238,3.281,3.321,3.216,7793.0,002456
62,2010-11-11,3.272,3.331,3.443,3.223,11259.0,002456
63,2010-11-12,3.326,3.184,3.419,3.139,11167.0,002456
64,2010-11-15,3.212,3.372,3.379,3.167,8409.0,002456
65,2010-11-16,3.376,3.211,3.407,3.168,8135.0,002456
66,2010-11-17,3.16,3.157,3.374,3.111,8786.0,002456
67,2010-11-18,3.155,3.321,3.325,3.155,6850.0,002456
68,2010-11-19,3.38,3.653,3.653,3.331,17010.0,002456
69,2010-11-22,3.829,3.723,3.899,3.653,21505.0,002456
70,2010-11-23,3.674,3.731,3.772,3.527,8484.0,002456
71,2010-11-24,3.675,3.699,3.713,3.636,6446.0,002456
72,2010-11-25,3.665,3.58,3.698,3.577,6235.0,002456
73,2010-11-26,3.578,3.593,3.674,3.566,3418.0,002456
74,2010-11-29,3.539,3.668,3.718,3.529,4750.0,002456
75,2010-11-30,3.654,3.424,3.654,3.301,9140.0,002456
76,2010-12-01,3.377,3.389,3.424,3.306,2386.0,002456
77,2010-12-02,3.442,3.357,3.467,3.348,3987.0,002456
78,2010-12-03,3.354,3.211,3.369,3.112,5167.0,002456
79,2010-12-06,3.184,3.082,3.222,2.989,8549.0,002456
80,2010-12-07,3.04,3.331,3.377,3.04,10082.0,002456
81,2010-12-08,3.284,3.304,3.471,3.257,5095.0,002456
82,2010-12-09,3.268,3.379,3.478,3.235,6922.0,002456
83,2010-12-10,3.345,3.433,3.463,3.282,4590.0,002456
84,2010-12-13,3.433,3.54,3.6,3.433,4768.0,002456
85,2010-12-14,3.542,3.499,3.551,3.453,5494.0,002456
86,2010-12-15,3.499,3.493,3.526,3.448,3003.0,002456
87,2010-12-16,3.483,3.484,3.549,3.461,3344.0,002456
88,2010-12-17,3.495,3.424,3.524,3.381,4113.0,002456
89,2010-12-20,3.451,3.307,3.453,3.184,4884.0,002456
90,2010-12-21,3.302,3.357,3.374,3.248,3278.0,002456
91,2010-12-22,3.358,3.32,3.379,3.308,2450.0,002456
92,2010-12-23,3.275,3.213,3.32,3.194,2265.0,002456
93,2010-12-24,3.208,3.223,3.272,3.106,3256.0,002456
94,2010-12-27,3.191,3.09,3.281,3.076,1861.0,002456
95,2010-12-28,3.062,3.052,3.113,2.964,3276.0,002456
96,2010-12-29,3.105,3.242,3.257,3.037,3855.0,002456
97,2010-12-30,3.215,3.222,3.254,3.176,2095.0,002456
98,2010-12-31,3.22,3.389,3.404,3.208,4737.0,002456
99,2011-01-04,3.355,3.393,3.409,3.331,2981.0,002456
100,2011-01-05,3.37,3.178,3.38,3.121,10334.0,002456
101,2011-01-06,3.176,3.158,3.199,3.122,3389.0,002456
102,2011-01-07,3.136,3.055,3.145,3.008,6614.0,002456
103,2011-01-10,3.018,3.017,3.115,2.978,3724.0,002456
104,2011-01-11,2.978,2.922,3.032,2.856,4363.0,002456
105,2011-01-12,2.929,3.015,3.022,2.885,3782.0,002456
106,2011-01-13,3.035,2.985,3.062,2.954,1924.0,002456
107,2011-01-14,2.954,2.817,3.003,2.793,5675.0,002456
108,2011-01-17,2.817,2.63,2.836,2.537,6669.0,002456
109,2011-01-18,2.62,2.62,2.669,2.571,3192.0,002456
110,2011-01-20,2.693,2.562,2.719,2.545,5019.0,002456
111,2011-01-21,2.528,2.551,2.595,2.482,2397.0,002456
112,2011-01-24,2.547,2.498,2.574,2.488,1991.0,002456
113,2011-01-25,2.496,2.551,2.572,2.474,3811.0,002456
114,2011-01-26,2.551,2.69,2.738,2.55,4737.0,002456
115,2011-01-27,2.647,2.687,2.733,2.616,3363.0,002456
116,2011-01-28,2.646,2.671,2.699,2.645,1960.0,002456
117,2011-01-31,2.679,2.749,2.765,2.679,3704.0,002456
118,2011-02-01,2.75,2.765,2.782,2.695,3438.0,002456
119,2011-02-09,2.716,2.762,2.762,2.645,2891.0,002456
120,2011-02-10,2.759,2.794,2.816,2.704,2776.0,002456
121,2011-02-11,2.794,2.861,2.885,2.779,4011.0,002456
122,2011-02-14,2.866,2.87,2.906,2.825,3289.0,002456
123,2011-02-15,2.856,2.841,2.91,2.814,3867.0,002456
124,2011-02-16,2.835,2.904,2.939,2.821,4102.0,002456
125,2011-02-17,2.924,2.963,2.988,2.892,7438.0,002456
126,2011-02-18,2.963,2.968,3.035,2.905,9515.0,002456
127,2011-02-21,2.932,3.017,3.027,2.91,2887.0,002456
128,2011-02-22,3.032,2.963,3.032,2.959,3878.0,002456
129,2011-02-23,2.955,3.086,3.198,2.942,8231.0,002456
130,2011-02-24,3.075,3.16,3.207,3.047,7853.0,002456
131,2011-02-25,3.16,3.166,3.19,3.136,5084.0,002456
